,Latitude,Longitude,Altitude
0,21.004323235158356,105.84179172395005,28.486430020071566
1,21.004463812458027,105.84188645194278,39.25477824732661
2,21.004233999549424,105.8419598086982,65.25798792485148
3,21.00430676795694,105.84184796168071,42.72696923464537
4,21.00435928753348,105.84222942520036,37.70916654728353
5,21.004226257245655,105.84228123754772,106.03023188654333
6,21.004759976068705,105.84214820398901,103.9973394004628
7,21.004036248282837,105.8418702891519,83.82159418519586
8,21.004587874787514,105.841940951062,95.60293784178793
9,21.004244925360606,105.84179915226534,50.56605702545494
10,21.00450029447925,105.84201025779721,121.0338477762416
11,21.004692621005375,105.84203681529159,42.442538312636316
12,21.004543289784465,105.84186519608811,123.5179292364046
13,21.004653092234136,105.84226579964941,-5.294341564178467
14,21.004265611548284,105.84249619069871,96.12083728983998
15,21.004264969402314,105.84247041408949,14.898015141487122
16,21.004123195537368,105.84243944355774,90.42361513245851
17,21.00436605130712,105.84226999203639,22.906915416009724
18,21.004151056489782,105.84214235575801,104.0161931104958
19,21.0043722547447,105.84202697071106,-33.356650952249765
20,21.004455461387494,105.84233419214388,76.58319867867976
21,21.004369982534687,105.84216590276549,40.161564756184816
22,21.00437385822854,105.8424844540371,114.36414369940758
23,21.004376721267818,105.8424544779864,180.75456323008984
24,21.004256449843833,105.84230585403287,75.85994980670512
25,21.003841674819334,105.84242165715598,115.72709768265486
26,21.004494814513624,105.84198184913673,43.5550189493224
27,21.00468993175226,105.84184665811853,-78.94353987462819
28,21.00398104876736,105.84213350945372,110.02024128194898
29,21.004382545579396,105.84194887417868,-3.7373133692890406
30,21.004330352817203,105.84180796744006,11.95804184768349
31,21.00396097596964,105.84246733152061,72.50254717562348
32,21.00414647458983,105.84185125002138,63.50630614720285
33,21.00486593165906,105.84163220753582,55.781555267982185
34,21.00396735987169,105.84121771823493,-721.8610905231908
35,21.004482753557152,105.84229782300001,78.17974671907723
36,21.004088712513607,105.84318908523021,122.07760399859399
37,21.003745497911012,105.84101756938183,-1310.330624065362
38,21.004801529009853,105.84325310097731,228.36552533973008
